what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1407856939824
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1407856939855
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1407856939980
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1407856939980
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1407856939980
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1407856940011
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1407856940011
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1407856940074
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1407856940090
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1407856940105
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1407856940105
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1407856940105
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1407856940152
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1407856940183
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1407856940261
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1407856940277
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1407856940293
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1407856940324
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1407856940418
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1407856940418
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1407856940418
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1407856940449
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1407856940480
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1407856940480
started,bundle,com.android.ide.eclipse.adt,22.6.3.v201404151837-1123206,"com.android.ide.eclipse.adt",1407856940480
started,bundle,com.android.ide.eclipse.base,22.6.3.v201404151837-1123206,"com.android.ide.eclipse.base",1407856940480
os,sysinfo,,,"win32",1407856940480
arch,sysinfo,,,"x86_64",1407856940480
ws,sysinfo,,,"win32",1407856940480
locale,sysinfo,,,"en_US",1407856940480
processors,sysinfo,,,"4",1407856940480
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1407856940480
java.runtime.version,sysinfo,,,"1.8.0_05-b13",1407856940480
java.specification.name,sysinfo,,,"Java Platform API Specification",1407856940480
java.specification.vendor,sysinfo,,,"Oracle Corporation",1407856940480
java.specification.version,sysinfo,,,"1.8",1407856940480
java.vendor,sysinfo,,,"Oracle Corporation",1407856940480
java.version,sysinfo,,,"1.8.0_05",1407856940480
java.vm.info,sysinfo,,,"mixed mode",1407856940480
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1407856940480
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1407856940480
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1407856940480
java.vm.specification.version,sysinfo,,,"1.8",1407856940480
java.vm.vendor,sysinfo,,,"Oracle Corporation",1407856940480
